title,authors,average_rating,num_pages,ratings_count,text_reviews_count,publication_date,author_mean_rates,year,month,day,children,"comics, graphic","fantasy, paranormal",fiction,"history, historical fiction, biography","mystery, thriller, crime",non-fiction,poetry,romance,young-adult,title_word_count,authors_name_count
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,436,38778,568,1987-07-01,4.07,1987.0,7.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,331,97494,2359,1987-07-15,4.07,1987.0,7.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5,1
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,592,784,21,2004-07-01,3.67,2004.0,7.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,8,1
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,480,272,20,1984-04-16,4.07,1984.0,4.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,426,4789,83,2006-08-29,3.946987104426509,2006.0,8.0,29.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4,3
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,471,45388,644,1987-08-15,4.07,1987.0,8.0,15.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,6,1
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,192,26153,102,2002-06-12,4.38,2002.0,6.0,12.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,13,1
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,544,69167,4551,1996-09-29,4.17,1996.0,9.0,29.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9,1
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,291,45,13,2005-09-13,4.17,2005.0,9.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,9,1
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,256,16,1,2004-11-01,4.159262810424283,2004.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10,3
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,205,174,16,2006-05-19,3.38,2006.0,5.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,13,1
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,336,76,9,2005-05-03,3.39,2005.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,1
eBay for Dummies,Marsha Collier,3.5,386,111,9,2006-10-30,3.53,2006.0,10.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3,1
Starting an eBay Business for Dummies,Marsha Collier,3.55,384,55,4,2004-09-17,3.53,2004.0,9.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6,1
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,873,166,4,2006-07-29,3.8022129360465113,2006.0,7.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2,2
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,240,50,5,2005-05-03,3.92,2005.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,7,1
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,206,13,2,2005-05-03,3.92,2005.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,8,1
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,838,16643,1851,2004-05-31,4.135456283103039,2004.0,5.0,31.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,960,109420,5696,2002-11-05,4.02454602568496,2002.0,11.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,837,2904,309,2003-01-30,4.132668297915556,2003.0,1.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,4
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,80,16,3,1965-11-26,4.039970834490015,1965.0,11.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,2
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,803,9564,726,2003-07-01,4.048934228421838,2003.0,7.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,752,474,72,2004-11-23,4.054805992455728,2004.0,11.0,23.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,803,303,48,2004-08-26,4.048934228421838,2004.0,8.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2,3
Dinner with Anna Karenina,Gloria Goldreich,2.99,360,411,65,2006-01-28,3.79,2006.0,1.0,28.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4,1
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,128,1204,33,1987-11-26,4.17,1987.0,11.0,26.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,160,3429,279,1990-07-03,3.867552400682428,1990.0,7.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1,2
The Untouchable,John Banville,3.95,367,2163,216,1998-06-30,3.56,1998.0,6.0,30.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2,1
The Untouchables,Eliot Ness/Oscar Fraley,3.89,256,613,31,1996-02-01,3.8548524305555554,1996.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2,2
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,320,308,40,2005-09-27,3.96,2005.0,9.0,27.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,13,1
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,224,16,4,2000-12-20,3.9913527851458888,2000.0,12.0,20.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8,3
Wrinkles in Time,George Smoot/Keay Davidson,4.01,360,1035,23,1994-10-01,3.95,1994.0,10.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,3,2
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,367,376,17,1994-06-01,4.08,1994.0,6.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,7,1
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,352,3086,237,2006-01-03,3.93,2006.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,1
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,320,352,44,2005-11-01,3.904181170658856,2005.0,11.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8,3
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,331,9852,633,2006-03-07,4.13,2006.0,3.0,7.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8,1
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,244,821,78,2004-08-10,4.074578099406716,2004.0,8.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,8,2
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,215,731,72,2005-03-08,3.878133474680736,2005.0,3.0,8.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,2
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,191,2897,178,2004-08-10,3.765234994631663,2004.0,8.0,10.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,5,2
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,144,98,11,1990-10-03,3.99,1990.0,10.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,7,1
I am Charlotte Simmons,Tom Wolfe,3.42,738,20888,1688,2005-08-30,3.84,2005.0,8.0,30.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,4,1
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,287,81,6,1996-10-03,4.11,1996.0,10.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,6,1
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,217,981,52,1964-02-01,3.813192419426812,1964.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,2
Quiet Days in Clichy,Henry Miller,3.69,154,3381,141,1994-01-13,3.81,1994.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,4,1
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,318,53206,2376,1994-01-06,3.81,1994.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3,2
Tropic of Capricorn,Henry Miller,3.78,348,14872,459,1994-01-13,3.81,1994.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3,1
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,316,3261,58,1994-01-13,3.81,1994.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,5,1
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,506,7805,251,1994-01-12,3.81,1994.0,1.0,12.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,5,1
The Air-Conditioned Nightmare,Henry Miller,3.83,292,2699,142,1970-01-17,3.81,1970.0,1.0,17.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,3,1
The Portrait of a Lady,Henry James/Patricia Crick,3.78,797,61640,1951,2003-09-30,3.65259798734972,2003.0,9.0,30.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5,2
The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78,635,392,41,2004-01-16,3.629915738428163,2004.0,1.0,16.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,5,3
Writing,Marguerite Duras,3.75,91,778,44,1999-05-06,3.74,1999.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1,1
The War,Marguerite Duras/Barbara Bray,3.85,192,963,65,1994-08-01,3.7790899057033855,1994.0,8.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,2,2
The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66,181,2057,128,1986-03-12,3.740637644680892,1986.0,3.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5,2
Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68,178,203,8,1999-07-01,4.1484785443999215,1999.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,2,3
Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21,464,35,2,1998-04-01,4.150015894758607,1998.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,6,3
The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19,102,328,16,1998-01-01,4.045399707551703,1998.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,9,3
Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98,216,1308,82,1995-02-21,4.15,1995.0,2.0,21.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,5,2
The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92,132,6432,517,2003-03-03,4.148244428390219,2003.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,3,3
Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08,100,3015,217,2011-06-14,4.15,2011.0,6.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,3,2
Treasure Island,Robert Louis Stevenson,3.83,311,318753,6734,2001-09-15,3.84,2001.0,9.0,15.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,1
Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83,213,420,42,2004-10-01,3.848972088388925,2004.0,10.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,2,2
