title,authors_x,average_rating,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,authors_y,children,"comics, graphic","fantasy, paranormal",fiction,"history, historical fiction, biography","mystery, thriller, crime",non-fiction,poetry,romance,young-adult
The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22,eng,6,1266,253,3/23/2005,"[{'author_id': '4', 'role': ''}, {'author_id': '10917', 'role': 'Narrator'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38,eng,815,2877,195,1/17/1996,"[{'author_id': '4', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
A Short History of Nearly Everything,Bill Bryson,4.21,eng,544,248558,9396,9/14/2004,"[{'author_id': '7', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Bill Bryson's African Diary,Bill Bryson,3.44,eng,55,7270,499,12/3/2002,"[{'author_id': '7', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87,eng,256,2088,131,9/14/2004,"[{'author_id': '7', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
In a Sunburned Country,Bill Bryson,4.07,eng,335,72451,4245,5/15/2001,"[{'author_id': '7', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9,eng,304,49240,2211,6/28/2000,"[{'author_id': '7', 'role': ''}]",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Lost Continent: Travels in Small Town America,Bill Bryson,3.83,eng,299,45712,2257,8/28/1990,"[{'author_id': '7', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Neither Here nor There: Travels in Europe,Bill Bryson,3.86,eng,254,48701,2238,3/28/1993,"[{'author_id': '7', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Notes from a Small Island,Bill Bryson,3.91,eng,324,80609,3301,5/28/1997,"[{'author_id': '7', 'role': ''}]",0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93,eng,270,28489,2085,9/28/1991,"[{'author_id': '7', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59,eng,1728,101233,1550,9/25/2012,"[{'author_id': '656983', 'role': ''}]",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5,eng,1184,1710,91,10/21/2004,"[{'author_id': '656983', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36,eng,398,2128944,13670,9/5/2003,"[{'author_id': '656983', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5,en-US,1216,1618,140,10/1/2002,"[{'author_id': '656983', 'role': ''}, {'author_id': '9545', 'role': 'Illustrator'}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53,eng,218,19822,46,11/5/2003,"[{'author_id': '5448409', 'role': 'Editor'}, {'author_id': '5325360', 'role': 'Foreword'}, {'author_id': '10154', 'role': 'Contributor'}]",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5,eng,224,359,6,11/15/2004,"[{'author_id': '10', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84,eng,558,1430,59,7/28/2005,"[{'author_id': '13', 'role': ''}, {'author_id': '23587', 'role': ''}, {'author_id': '23590', 'role': ''}, {'author_id': '15118', 'role': ''}, {'author_id': '8594411', 'role': ''}, {'author_id': '8622940', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Hatchet (Brian's Saga  #1),Gary Paulsen,3.72,eng,208,270244,12017,4/1/2000,"[{'author_id': '18', 'role': ''}]",1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88,eng,144,2067,334,1/23/2001,"[{'author_id': '18', 'role': ''}]",1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45,en-US,228,99,16,11/1/2005,"[{'author_id': '20', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76,eng,304,167,4,11/1/2005,"[{'author_id': '23', 'role': ''}, {'author_id': '16158', 'role': ''}, {'author_id': '16159', 'role': ''}, {'author_id': '16160', 'role': ''}, {'author_id': '16155', 'role': ''}, {'author_id': '16156', 'role': ''}, {'author_id': '16162', 'role': ''}, {'author_id': '16157', 'role': ''}, {'author_id': '16161', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Changeling (Changeling  #1),Delia Sherman,3.6,eng,256,978,111,8/17/2006,"[{'author_id': '24', 'role': ''}]",1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
The Changeling Sea,Patricia A. McKillip,4.06,eng,137,4454,302,4/14/2003,"[{'author_id': '25', 'role': ''}]",1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0
The Changeling,Zilpha Keatley Snyder,4.17,eng,228,1176,96,6/8/2004,"[{'author_id': '27', 'role': ''}]",1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0
The Changeling,Kate Horsley,3.55,eng,339,301,43,4/12/2005,"[{'author_id': '29', 'role': ''}]",0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
The Changeling (Daughters of England  #15),Philippa Carr,3.98,eng,369,345,12,8/28/1990,"[{'author_id': '32', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
The Known World,Edward P. Jones,3.83,eng,388,29686,2626,8/29/2006,"[{'author_id': '33', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
The Known World,Edward P. Jones/Kevin R. Free,3.83,en-US,14,55,12,6/15/2004,"[{'author_id': '33', 'role': ''}, {'author_id': '2119344', 'role': 'Narrator'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
The Known World,Edward P. Jones,3.83,eng,576,22,3,6/15/2004,"[{'author_id': '33', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83,eng,334,1456,82,5/15/2006,"[{'author_id': '36', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Artesia: Adventures in the Known World,Mark Smylie,4.13,eng,352,52,4,12/14/2005,"[{'author_id': '38', 'role': 'Illustrator'}]",0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42,eng,416,562,37,6/1/1982,"[{'author_id': '40', 'role': ''}, {'author_id': '204245', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Uncommon Carriers,John McPhee,3.95,en-US,248,1630,203,5/16/2006,"[{'author_id': '40', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Heirs of General Practice,John McPhee,4.17,eng,128,268,22,4/1/1986,"[{'author_id': '40', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Control of Nature,John McPhee,4.24,en-US,288,3498,305,9/1/1990,"[{'author_id': '40', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Annals of the Former World,John McPhee,4.34,eng,720,3115,228,1/6/1999,"[{'author_id': '40', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Coming Into the Country,John McPhee,4.22,eng,448,5704,261,4/1/1991,"[{'author_id': '40', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
La Place de la Concorde Suisse,John McPhee,3.92,fre,160,698,52,4/1/1994,"[{'author_id': '40', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Giving Good Weight,John McPhee,4.23,eng,288,542,36,4/1/1994,"[{'author_id': '40', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Rising from the Plains,John McPhee,4.23,eng,208,1341,98,11/1/1987,"[{'author_id': '40', 'role': ''}]",0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Heidi Chronicles,Wendy Wasserstein,3.75,eng,81,1423,70,3/1/2002,"[{'author_id': '42', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84,eng,249,2766,64,7/2/1991,"[{'author_id': '42', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46,eng,192,860,53,9/1/2003,"[{'author_id': '11872', 'role': ''}, {'author_id': '51', 'role': ''}]",1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99,eng,352,153317,2257,11/15/2002,"[{'author_id': '49', 'role': ''}, {'author_id': '9829661', 'role': 'Illustrator'}, {'author_id': '403', 'role': 'Contributor'}]",1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0
What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89,eng,832,11797,659,10/16/2003,"[{'author_id': '53', 'role': ''}, {'author_id': '137747', 'role': ''}, {'author_id': '53', 'role': ''}, {'author_id': '4673', 'role': ''}, {'author_id': '11850', 'role': ''}, {'author_id': '3092798', 'role': 'Contributor'}]",1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82,eng,123,34,8,5/10/2004,"[{'author_id': '44', 'role': ''}, {'author_id': '1587', 'role': ''}]",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78,en-US,128,78,4,8/19/2004,"[{'author_id': '47', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84,eng,423,2785,166,6/15/1987,"[{'author_id': '58', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91,eng,436,38778,568,7/1/1987,"[{'author_id': '58', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88,eng,331,97494,2359,7/15/1987,"[{'author_id': '58', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01,en-US,592,784,21,7/1/2004,"[{'author_id': '56', 'role': ''}]",0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86,eng,480,272,20,4/16/1984,"[{'author_id': '58', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88,eng,426,4789,83,8/29/2006,"[{'author_id': '58', 'role': ''}, {'author_id': '56', 'role': ''}, {'author_id': '4845', 'role': ''}]",0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86,eng,471,45388,644,8/15/1987,"[{'author_id': '58', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59,eng,192,26153,102,6/12/2002,"[{'author_id': '60', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,544,69167,4551,9/29/1996,"[{'author_id': '63', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
The Power of One (The Power of One  #1),Bryce Courtenay,4.35,eng,291,45,13,9/13/2005,"[{'author_id': '63', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0
The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28,en-US,256,16,1,11/1/2004,"[{'author_id': '68', 'role': ''}, {'author_id': '221642', 'role': ''}, {'author_id': '221643', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34,eng,205,174,16,5/19/2006,"[{'author_id': '69', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48,eng,336,76,9,5/3/2005,"[{'author_id': '71', 'role': ''}]",,,,,,,,,,
eBay for Dummies,Marsha Collier,3.5,eng,386,111,9,10/30/2006,"[{'author_id': '72', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Starting an eBay Business for Dummies,Marsha Collier,3.55,eng,384,55,4,9/17/2004,"[{'author_id': '72', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84,eng,873,166,4,7/29/2006,"[{'author_id': '78', 'role': ''}, {'author_id': '3100', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12,eng,240,50,5,5/3/2005,"[{'author_id': '79', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08,eng,206,13,2,5/3/2005,"[{'author_id': '79', 'role': ''}]",0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05,eng,838,16643,1851,5/31/2004,"[{'author_id': '128382', 'role': ''}, {'author_id': '3357', 'role': 'Translator'}, {'author_id': '3358', 'role': 'Translator'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05,eng,960,109420,5696,11/5/2002,"[{'author_id': '128382', 'role': ''}, {'author_id': '217371', 'role': 'Translator'}, {'author_id': '5262', 'role': 'Contributor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05,eng,837,2904,309,1/30/2003,"[{'author_id': '128382', 'role': ''}, {'author_id': '3357', 'role': 'Translator'}, {'author_id': '3358', 'role': 'Translator'}, {'author_id': '21660', 'role': 'Contributor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85,eng,80,16,3,11/26/1965,"[{'author_id': '86', 'role': ''}, {'author_id': '128382', 'role': ''}]",,,,,,,,,,
Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05,eng,803,9564,726,7/1/2003,"[{'author_id': '128382', 'role': ''}, {'author_id': '40588', 'role': 'Contributor'}, {'author_id': '69892', 'role': 'Translator'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05,eng,752,474,72,11/23/2004,"[{'author_id': '128382', 'role': ''}, {'author_id': '235013', 'role': 'Translator'}, {'author_id': '72230', 'role': 'Translator'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05,eng,803,303,48,8/26/2004,"[{'author_id': '128382', 'role': ''}, {'author_id': '69892', 'role': 'Translator'}, {'author_id': '40588', 'role': 'Contributor'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
Dinner with Anna Karenina,Gloria Goldreich,2.99,eng,360,411,65,1/28/2006,"[{'author_id': '87', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
Tolstoy: Anna Karenina,Anthony Thorlby,4.19,eng,128,1204,33,11/26/1987,"[{'author_id': '88', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Untouchable,Mulk Raj Anand/E.M. Forster,3.71,eng,160,3429,279,7/3/1990,"[{'author_id': '90', 'role': ''}, {'author_id': '86404', 'role': 'Contributor'}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Untouchable,John Banville,3.95,eng,367,2163,216,6/30/1998,"[{'author_id': '91', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
The Untouchables,Eliot Ness/Oscar Fraley,3.89,eng,256,613,31,2/1/1996,"[{'author_id': '92', 'role': ''}, {'author_id': '12015', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82,en-US,320,308,40,9/27/2005,"[{'author_id': '93', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65,eng,224,16,4,12/20/2000,"[{'author_id': '11894', 'role': ''}, {'author_id': '229688', 'role': 'Translator'}, {'author_id': '650893', 'role': 'Contributor'}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
Wrinkles in Time,George Smoot/Keay Davidson,4.01,eng,360,1035,23,10/1/1994,"[{'author_id': '115', 'role': ''}, {'author_id': '5161', 'role': ''}]",0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12,eng,367,376,17,6/1/1994,"[{'author_id': '130', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,eng,352,3086,237,1/3/2006,"[{'author_id': '131', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,en-US,320,352,44,11/1/2005,"[{'author_id': '133', 'role': ''}, {'author_id': '12041', 'role': ''}, {'author_id': '478913', 'role': ''}]",0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,eng,331,9852,633,3/7/2006,"[{'author_id': '13557729', 'role': ''}]",0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,eng,244,821,78,8/10/2004,"[{'author_id': '3114972', 'role': ''}, {'author_id': '7031', 'role': 'Introduction'}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,eng,215,731,72,3/8/2005,"[{'author_id': '3114972', 'role': ''}, {'author_id': '17613', 'role': 'Introduction'}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,eng,191,2897,178,8/10/2004,"[{'author_id': '3114972', 'role': ''}, {'author_id': '12940', 'role': 'Introduction'}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,eng,144,98,11,10/3/1990,"[{'author_id': '3114972', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
I am Charlotte Simmons,Tom Wolfe,3.42,eng,738,20888,1688,8/30/2005,"[{'author_id': '3083854', 'role': ''}]",0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0
The Puffin Book of Nonsense Verse,Quentin Blake,4.02,eng,287,81,6,10/3/1996,"[{'author_id': '146', 'role': ''}]",1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,eng,217,981,52,2/1/1964,"[{'author_id': '147', 'role': ''}, {'author_id': '3849654', 'role': 'Editor'}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Quiet Days in Clichy,Henry Miller,3.69,eng,154,3381,141,1/13/1994,"[{'author_id': '147', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0
Tropic of Cancer,Henry Miller/Jiří Níl,3.68,eng,318,53206,2376,1/6/1994,"[{'author_id': '147', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Tropic of Capricorn,Henry Miller,3.78,eng,348,14872,459,1/13/1994,"[{'author_id': '147', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0
Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1,eng,316,3261,58,1/13/1994,"[{'author_id': '147', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98,eng,506,7805,251,1/12/1994,"[{'author_id': '147', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
The Air-Conditioned Nightmare,Henry Miller,3.83,eng,292,2699,142,1/17/1970,"[{'author_id': '147', 'role': ''}]",0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0
The Portrait of a Lady,Henry James/Patricia Crick,3.78,eng,797,61640,1951,9/30/2003,"[{'author_id': '159', 'role': ''}, {'author_id': '79407', 'role': 'Annotations'}]",0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
