book_id,genres
14358,"{'young-adult': 680, 'fiction': 514, 'fantasy, paranormal': 289, 'children': 318, 'romance': 56}"
29257,{}
29256,"{'non-fiction': 22, 'history, historical fiction, biography': 1}"
29252,"{'non-fiction': 13, 'history, historical fiction, biography': 1}"
40372,"{'fiction': 119, 'fantasy, paranormal': 71, 'romance': 4}"
40376,"{'fantasy, paranormal': 135, 'fiction': 131, 'romance': 11}"
40379,"{'fantasy, paranormal': 367, 'fiction': 300, 'romance': 24, 'young-adult': 7, 'mystery, thriller, crime': 5}"
40378,"{'fiction': 403, 'fantasy, paranormal': 233, 'romance': 23, 'young-adult': 4, 'children': 2}"
4836,{'fiction': 319}
3585,"{'mystery, thriller, crime': 23, 'fiction': 9, 'history, historical fiction, biography': 1}"
24530,{}
4364,"{'non-fiction': 327, 'history, historical fiction, biography': 62, 'fiction': 18, 'mystery, thriller, crime': 3}"
4360,"{'non-fiction': 94, 'history, historical fiction, biography': 92, 'comics, graphic': 3, 'mystery, thriller, crime': 2}"
4362,"{'history, historical fiction, biography': 49, 'non-fiction': 40, 'fiction': 2}"
44446,"{'fiction': 12, 'history, historical fiction, biography': 1}"
1504,{'non-fiction': 1}
22209,"{'mystery, thriller, crime': 480, 'fiction': 101}"
22208,"{'children': 120, 'poetry': 30, 'fiction': 7, 'non-fiction': 4}"
22202,"{'non-fiction': 166, 'history, historical fiction, biography': 172, 'fiction': 31, 'mystery, thriller, crime': 29, 'comics, graphic': 2}"
22201,"{'fiction': 169, 'fantasy, paranormal': 18}"
22200,"{'fiction': 1686, 'fantasy, paranormal': 230, 'mystery, thriller, crime': 14}"
22207,"{'fiction': 461, 'young-adult': 41, 'mystery, thriller, crime': 5}"
22205,"{'young-adult': 2708, 'romance': 1611, 'fiction': 1035}"
20241,"{'non-fiction': 357, 'history, historical fiction, biography': 51}"
23056,"{'non-fiction': 68, 'history, historical fiction, biography': 4}"
10534,"{'non-fiction': 4001, 'history, historical fiction, biography': 1617, 'fiction': 70}"
10537,"{'non-fiction': 4001, 'history, historical fiction, biography': 1617, 'fiction': 70}"
10539,"{'non-fiction': 1576, 'history, historical fiction, biography': 136, 'fiction': 22}"
9929,"{'history, historical fiction, biography': 22, 'non-fiction': 11}"
9920,"{'non-fiction': 8049, 'mystery, thriller, crime': 5303, 'fiction': 1244, 'history, historical fiction, biography': 1303}"
9921,"{'fiction': 1, 'history, historical fiction, biography': 1}"
9922,"{'fiction': 161, 'romance': 24}"
9923,"{'fiction': 55, 'non-fiction': 5, 'history, historical fiction, biography': 2, 'comics, graphic': 2, 'romance': 1}"
9924,"{'fiction': 186, 'history, historical fiction, biography': 3}"
17123,"{'fiction': 17121, 'fantasy, paranormal': 2157}"
17125,"{'fiction': 2474, 'history, historical fiction, biography': 982, 'non-fiction': 126}"
16192,"{'history, historical fiction, biography': 203, 'non-fiction': 118}"
16193,"{'history, historical fiction, biography': 77, 'non-fiction': 41}"
35417,"{'comics, graphic': 197, 'fiction': 42, 'fantasy, paranormal': 7}"
35414,"{'fiction': 301, 'fantasy, paranormal': 56}"
35412,"{'fiction': 118, 'fantasy, paranormal': 22}"
35413,"{'comics, graphic': 36, 'fiction': 6}"
5345,"{'non-fiction': 285, 'mystery, thriller, crime': 416, 'history, historical fiction, biography': 140, 'fiction': 62}"
5346,"{'fiction': 968, 'mystery, thriller, crime': 1323}"
13486,"{'non-fiction': 7, 'history, historical fiction, biography': 1}"
1366,"{'non-fiction': 184, 'history, historical fiction, biography': 438, 'fiction': 55}"
1367,"{'non-fiction': 184, 'history, historical fiction, biography': 438, 'fiction': 55}"
1365,"{'non-fiction': 184, 'history, historical fiction, biography': 438, 'fiction': 55}"
1362,"{'non-fiction': 184, 'history, historical fiction, biography': 438, 'fiction': 55}"
1368,"{'non-fiction': 184, 'history, historical fiction, biography': 438, 'fiction': 55}"
22463,"{'non-fiction': 2595, 'history, historical fiction, biography': 354, 'fiction': 22}"
22461,"{'non-fiction': 2595, 'history, historical fiction, biography': 354, 'fiction': 22}"
22460,"{'non-fiction': 55, 'history, historical fiction, biography': 7, 'fiction': 2}"
38424,"{'comics, graphic': 709, 'fiction': 97, 'children': 148, 'young-adult': 40}"
42528,"{'history, historical fiction, biography': 157, 'non-fiction': 22}"
42525,"{'history, historical fiction, biography': 36, 'non-fiction': 11, 'mystery, thriller, crime': 1}"
27503,{'fiction': 36}
27500,"{'fiction': 8914, 'history, historical fiction, biography': 1154}"
27507,"{'history, historical fiction, biography': 215, 'non-fiction': 127}"
18906,"{'young-adult': 2, 'fantasy, paranormal': 2, 'fiction': 1, 'children': 1}"
44881,"{'young-adult': 149, 'mystery, thriller, crime': 72, 'fiction': 112, 'children': 21}"
44883,"{'history, historical fiction, biography': 6, 'non-fiction': 1}"
44882,"{'non-fiction': 190, 'history, historical fiction, biography': 20}"
15719,"{'comics, graphic': 4770, 'fantasy, paranormal': 536, 'fiction': 491, 'history, historical fiction, biography': 448, 'young-adult': 21}"
15714,"{'non-fiction': 276, 'fiction': 61}"
24157,"{'children': 160, 'fiction': 66, 'young-adult': 3}"
24156,"{'children': 169, 'fiction': 85}"
37408,"{'children': 44, 'poetry': 8, 'fiction': 5, 'fantasy, paranormal': 4, 'non-fiction': 1, 'history, historical fiction, biography': 1}"
37405,"{'non-fiction': 258, 'history, historical fiction, biography': 5, 'fiction': 5}"
2404,"{'fiction': 2, 'comics, graphic': 1, 'children': 2}"
14817,"{'fiction': 1979, 'fantasy, paranormal': 427, 'mystery, thriller, crime': 91, 'comics, graphic': 42}"
14812,"{'fantasy, paranormal': 126, 'fiction': 7, 'romance': 1}"
3431,"{'fiction': 743, 'non-fiction': 79, 'young-adult': 47, 'romance': 39}"
6708,{'non-fiction': 1345}
36259,"{'non-fiction': 11, 'history, historical fiction, biography': 1}"
36255,"{'fiction': 78, 'history, historical fiction, biography': 87, 'romance': 13, 'young-adult': 8, 'non-fiction': 1}"
36253,"{'fiction': 443, 'history, historical fiction, biography': 443, 'romance': 21, 'young-adult': 12, 'non-fiction': 2, 'comics, graphic': 2}"
36252,"{'fiction': 268, 'history, historical fiction, biography': 297, 'romance': 35, 'fantasy, paranormal': 20, 'young-adult': 13}"
26481,"{'fiction': 91, 'history, historical fiction, biography': 104, 'children': 78, 'non-fiction': 8, 'young-adult': 2}"
26480,"{'fiction': 322, 'history, historical fiction, biography': 293, 'poetry': 118, 'young-adult': 144, 'children': 72, 'mystery, thriller, crime': 3}"
26482,"{'young-adult': 120, 'fiction': 165, 'children': 208, 'fantasy, paranormal': 34}"
428,"{'fiction': 199, 'history, historical fiction, biography': 13, 'non-fiction': 8}"
28728,"{'fantasy, paranormal': 349, 'fiction': 35, 'mystery, thriller, crime': 2}"
28729,"{'fantasy, paranormal': 34, 'fiction': 8, 'poetry': 1}"
421,"{'non-fiction': 608, 'history, historical fiction, biography': 93, 'fiction': 30}"
420,"{'non-fiction': 2922, 'history, historical fiction, biography': 1039, 'fiction': 141}"
423,"{'non-fiction': 145, 'history, historical fiction, biography': 66, 'fiction': 7}"
422,"{'fiction': 169, 'non-fiction': 8, 'history, historical fiction, biography': 2}"
425,"{'fiction': 124, 'history, historical fiction, biography': 14, 'non-fiction': 8}"
424,"{'non-fiction': 885, 'history, historical fiction, biography': 182, 'fiction': 74}"
28725,"{'fantasy, paranormal': 1226, 'fiction': 135, 'young-adult': 9}"
29394,"{'fantasy, paranormal': 2426, 'fiction': 325, 'young-adult': 21, 'romance': 19}"
29395,"{'fiction': 552, 'history, historical fiction, biography': 510, 'mystery, thriller, crime': 2}"
29396,"{'fantasy, paranormal': 6280, 'fiction': 547, 'young-adult': 58, 'romance': 28}"
29390,"{'history, historical fiction, biography': 49, 'non-fiction': 20, 'fiction': 6}"
37264,"{'comics, graphic': 1342, 'fiction': 71, 'young-adult': 19, 'fantasy, paranormal': 6, 'children': 3, 'romance': 3}"
37261,"{'comics, graphic': 805, 'non-fiction': 104, 'history, historical fiction, biography': 32, 'fiction': 6}"
36475,"{'non-fiction': 351, 'history, historical fiction, biography': 138}"
8500,"{'non-fiction': 176, 'history, historical fiction, biography': 17, 'fiction': 13}"
8506,"{'history, historical fiction, biography': 188, 'non-fiction': 74, 'comics, graphic': 4, 'fiction': 2}"
8508,"{'non-fiction': 72, 'history, historical fiction, biography': 71, 'fiction': 7}"
10885,"{'history, historical fiction, biography': 308, 'non-fiction': 75}"
32703,"{'fiction': 189, 'history, historical fiction, biography': 67, 'fantasy, paranormal': 67, 'mystery, thriller, crime': 59, 'non-fiction': 12}"
32702,"{'fiction': 199, 'mystery, thriller, crime': 193, 'fantasy, paranormal': 12, 'young-adult': 11}"
32709,"{'fiction': 46, 'mystery, thriller, crime': 50, 'comics, graphic': 6, 'history, historical fiction, biography': 2}"
8213,"{'non-fiction': 10, 'romance': 1}"
17581,"{'history, historical fiction, biography': 48, 'children': 33, 'non-fiction': 15, 'young-adult': 2, 'fiction': 1, 'comics, graphic': 1}"
8660,"{'fiction': 1294, 'fantasy, paranormal': 457, 'mystery, thriller, crime': 85, 'history, historical fiction, biography': 50}"
44545,"{'non-fiction': 8, 'history, historical fiction, biography': 9, 'poetry': 2, 'comics, graphic': 1, 'fiction': 1}"
44540,"{'poetry': 35, 'non-fiction': 5, 'romance': 1, 'history, historical fiction, biography': 1, 'fiction': 1}"
44543,"{'fiction': 1112, 'history, historical fiction, biography': 913, 'mystery, thriller, crime': 12, 'romance': 6}"
35350,"{'fiction': 131, 'history, historical fiction, biography': 67}"
872,"{'fiction': 11735, 'fantasy, paranormal': 2355, 'history, historical fiction, biography': 339, 'young-adult': 169, 'non-fiction': 115, 'romance': 99}"
873,"{'comics, graphic': 476, 'fiction': 113, 'fantasy, paranormal': 56, 'young-adult': 53, 'mystery, thriller, crime': 6}"
871,"{'fantasy, paranormal': 180, 'comics, graphic': 386, 'fiction': 94, 'young-adult': 44, 'mystery, thriller, crime': 4}"
1403,{'poetry': 12}
1402,"{'poetry': 24, 'fiction': 7, 'history, historical fiction, biography': 8}"
22302,"{'fiction': 51, 'non-fiction': 25, 'history, historical fiction, biography': 34}"
22307,"{'non-fiction': 21, 'history, historical fiction, biography': 26, 'comics, graphic': 5, 'fiction': 1, 'children': 2, 'young-adult': 1}"
22304,"{'fiction': 390, 'non-fiction': 10, 'poetry': 2}"
32075,"{'fiction': 4, 'mystery, thriller, crime': 1}"
26049,"{'romance': 289, 'fantasy, paranormal': 118, 'fiction': 42, 'mystery, thriller, crime': 6, 'history, historical fiction, biography': 2}"
3531,"{'fiction': 46, 'history, historical fiction, biography': 13, 'romance': 5, 'young-adult': 2, 'poetry': 1}"
3532,"{'fiction': 185, 'romance': 59, 'history, historical fiction, biography': 7}"
25919,"{'romance': 22, 'comics, graphic': 14, 'fiction': 4}"
3815,"{'mystery, thriller, crime': 700, 'fiction': 178}"
3818,{}
20059,"{'fiction': 256, 'history, historical fiction, biography': 203, 'fantasy, paranormal': 9, 'non-fiction': 2}"
32016,{'non-fiction': 7}
3072,"{'fiction': 44, 'history, historical fiction, biography': 1, 'mystery, thriller, crime': 1}"
3075,{'fiction': 2}
21686,"{'mystery, thriller, crime': 4029, 'fiction': 1590, 'history, historical fiction, biography': 129}"
21685,"{'mystery, thriller, crime': 1560, 'fiction': 494}"
21682,"{'fiction': 93, 'mystery, thriller, crime': 64}"
21683,"{'mystery, thriller, crime': 802, 'fiction': 238}"
19531,"{'fiction': 7, 'history, historical fiction, biography': 1}"
19534,"{'fiction': 621, 'history, historical fiction, biography': 76}"
29478,"{'fiction': 22, 'romance': 8, 'non-fiction': 2, 'mystery, thriller, crime': 1}"
27345,"{'non-fiction': 1, 'history, historical fiction, biography': 1}"
27347,"{'non-fiction': 69, 'history, historical fiction, biography': 10, 'fiction': 3}"
39793,"{'mystery, thriller, crime': 533, 'fiction': 146}"
39792,"{'mystery, thriller, crime': 795, 'fiction': 130}"
39795,"{'mystery, thriller, crime': 930, 'fiction': 381}"
39797,"{'mystery, thriller, crime': 340, 'fiction': 100}"
39796,"{'mystery, thriller, crime': 898, 'fiction': 257}"
39799,"{'mystery, thriller, crime': 723, 'fiction': 213}"
9566,"{'fiction': 1387, 'fantasy, paranormal': 27, 'romance': 22}"
34542,"{'fantasy, paranormal': 841, 'fiction': 200, 'young-adult': 86, 'children': 162, 'comics, graphic': 13}"
34541,"{'fiction': 685, 'fantasy, paranormal': 509, 'comics, graphic': 51, 'young-adult': 14}"
34540,"{'fantasy, paranormal': 2189, 'fiction': 389, 'comics, graphic': 197, 'young-adult': 16}"
34545,"{'comics, graphic': 1, 'non-fiction': 2}"
34544,"{'comics, graphic': 98, 'fiction': 5, 'fantasy, paranormal': 2}"
34548,"{'non-fiction': 569, 'history, historical fiction, biography': 557, 'comics, graphic': 15, 'fiction': 4}"
24711,"{'non-fiction': 211, 'history, historical fiction, biography': 64, 'fiction': 14}"
7679,"{'fiction': 945, 'mystery, thriller, crime': 363, 'fantasy, paranormal': 81}"
7677,"{'fiction': 9447, 'mystery, thriller, crime': 2207, 'fantasy, paranormal': 1596, 'young-adult': 47}"
7674,{'fiction': 4}
7672,"{'fiction': 2901, 'mystery, thriller, crime': 1287, 'fantasy, paranormal': 244}"
7673,"{'fiction': 1566, 'history, historical fiction, biography': 833, 'fantasy, paranormal': 561, 'mystery, thriller, crime': 279, 'poetry': 13, 'non-fiction': 9}"
7670,"{'fiction': 3090, 'mystery, thriller, crime': 1242, 'fantasy, paranormal': 512}"
23518,"{'non-fiction': 325, 'history, historical fiction, biography': 9}"
23512,"{'non-fiction': 15, 'history, historical fiction, biography': 3}"
23515,"{'non-fiction': 17, 'history, historical fiction, biography': 2}"
17722,"{'fantasy, paranormal': 5270, 'fiction': 3471, 'children': 5234, 'young-adult': 853, 'poetry': 71}"
30134,"{'poetry': 394, 'children': 468, 'fiction': 42, 'fantasy, paranormal': 11, 'young-adult': 7, 'non-fiction': 10}"
37996,"{'non-fiction': 12, 'history, historical fiction, biography': 3, 'mystery, thriller, crime': 3}"
37998,"{'fiction': 20, 'mystery, thriller, crime': 20, 'romance': 10, 'children': -1, 'young-adult': -1}"
9164,"{'non-fiction': 4, 'history, historical fiction, biography': 1}"
41489,"{'mystery, thriller, crime': 337, 'fiction': 70, 'romance': 4}"
26653,"{'fiction': 73, 'history, historical fiction, biography': 12}"
26654,"{'fiction': 96, 'history, historical fiction, biography': 3}"
27404,"{'history, historical fiction, biography': 105, 'non-fiction': 116, 'mystery, thriller, crime': 7, 'fiction': 3}"
45288,"{'poetry': 111, 'fiction': 10, 'non-fiction': 7, 'history, historical fiction, biography': 5}"
45283,"{'fiction': 4115, 'history, historical fiction, biography': 756}"
18801,"{'fiction': 133, 'romance': 3}"
18802,"{'fiction': 158, 'history, historical fiction, biography': 4, 'comics, graphic': 3}"
18803,"{'fiction': 1305, 'romance': 32}"
18808,"{'history, historical fiction, biography': 11, 'non-fiction': 4}"
5890,"{'mystery, thriller, crime': 2422, 'fiction': 2014, 'history, historical fiction, biography': 372, 'romance': 102}"
5891,"{'mystery, thriller, crime': 2422, 'fiction': 2014, 'history, historical fiction, biography': 372, 'romance': 102}"
5893,"{'mystery, thriller, crime': 2422, 'fiction': 2014, 'history, historical fiction, biography': 372, 'romance': 102}"
5896,"{'mystery, thriller, crime': 2422, 'fiction': 2014, 'history, historical fiction, biography': 372, 'romance': 102}"
5898,"{'fantasy, paranormal': 16463, 'fiction': 4526, 'young-adult': 283}"
16619,"{'history, historical fiction, biography': 1132, 'non-fiction': 726, 'fiction': 7}"
16616,"{'comics, graphic': 123, 'fiction': 10, 'fantasy, paranormal': 6}"
22618,{'non-fiction': 10}
34495,"{'fantasy, paranormal': 443, 'fiction': 118, 'young-adult': 49, 'children': 64}"
34492,"{'fantasy, paranormal': 3462, 'young-adult': 633, 'fiction': 639, 'children': 194, 'comics, graphic': 43, 'romance': 23}"
12527,"{'fiction': 133, 'non-fiction': 231, 'history, historical fiction, biography': 129, 'poetry': 14}"
12526,"{'fiction': 21, 'non-fiction': 28, 'history, historical fiction, biography': 9}"
31862,"{'non-fiction': 303, 'history, historical fiction, biography': 12}"
7101,"{'fiction': 374, 'history, historical fiction, biography': 122}"
9072,"{'fiction': 6716, 'history, historical fiction, biography': 3924, 'fantasy, paranormal': 2377, 'mystery, thriller, crime': 1712, 'romance': 69}"
9073,"{'non-fiction': 205, 'history, historical fiction, biography': 140, 'mystery, thriller, crime': 10, 'comics, graphic': 2}"
30050,"{'non-fiction': 25, 'history, historical fiction, biography': 8}"
5171,"{'fiction': 399, 'mystery, thriller, crime': 217, 'history, historical fiction, biography': 100, 'romance': 7}"
5176,"{'fiction': 610, 'mystery, thriller, crime': 37}"
5175,"{'fiction': 333, 'romance': 24}"
5174,"{'fiction': 1232, 'history, historical fiction, biography': 331}"
5179,"{'fiction': 295, 'history, historical fiction, biography': 72}"
26583,"{'fiction': 354, 'romance': 243, 'fantasy, paranormal': 23, 'history, historical fiction, biography': 27}"
26587,"{'children': 38, 'fantasy, paranormal': 14, 'fiction': 18, 'young-adult': 6, 'history, historical fiction, biography': 9, 'non-fiction': 5}"
26588,"{'non-fiction': 24, 'children': 14, 'young-adult': 1, 'fiction': 1}"
18260,"{'fiction': 3738, 'history, historical fiction, biography': 829, 'young-adult': 153, 'children': 263, 'mystery, thriller, crime': 62}"
18261,"{'poetry': 145, 'fiction': 113, 'fantasy, paranormal': 50, 'history, historical fiction, biography': 65, 'non-fiction': 4}"
18265,"{'fiction': 297, 'fantasy, paranormal': 47, 'history, historical fiction, biography': 14}"
18266,"{'fiction': 297, 'fantasy, paranormal': 47, 'history, historical fiction, biography': 14}"
28425,"{'history, historical fiction, biography': 73, 'romance': 93, 'fiction': 8, 'fantasy, paranormal': 4}"
28427,"{'history, historical fiction, biography': 72, 'romance': 88, 'fantasy, paranormal': 21, 'fiction': 7, 'mystery, thriller, crime': 1}"
21295,"{'fiction': 11, 'mystery, thriller, crime': 18}"
27885,"{'fantasy, paranormal': 36, 'fiction': 10, 'young-adult': 2}"
14940,"{'fiction': 361, 'poetry': 18, 'romance': 8}"
14948,"{'non-fiction': 250, 'history, historical fiction, biography': 158, 'fiction': 12, 'comics, graphic': 8, 'poetry': 3}"
33052,"{'fiction': 160, 'poetry': 76, 'history, historical fiction, biography': 104, 'mystery, thriller, crime': 10, 'non-fiction': 5}"
33057,"{'history, historical fiction, biography': 226, 'non-fiction': 107, 'fiction': 2}"
16298,"{'mystery, thriller, crime': 2672, 'fiction': 522, 'history, historical fiction, biography': 26}"
16297,"{'fiction': 452, 'mystery, thriller, crime': 528, 'history, historical fiction, biography': 23}"
8601,"{'non-fiction': 463, 'fiction': 3}"
28240,"{'non-fiction': 312, 'history, historical fiction, biography': 30, 'fiction': 4}"
28249,"{'fiction': 337, 'fantasy, paranormal': 1088, 'romance': 61, 'young-adult': 47}"
29412,"{'non-fiction': 119, 'history, historical fiction, biography': 66, 'fiction': 8}"
25946,"{'fiction': 28, 'history, historical fiction, biography': 1}"
11570,"{'fiction': 1248, 'mystery, thriller, crime': 425, 'fantasy, paranormal': 311}"
45492,"{'fantasy, paranormal': 22032, 'young-adult': 7648, 'fiction': 6022, 'children': 3723, 'mystery, thriller, crime': 111}"
45495,"{'fiction': 11735, 'fantasy, paranormal': 2355, 'history, historical fiction, biography': 339, 'young-adult': 169, 'non-fiction': 115, 'romance': 99}"
8515,"{'non-fiction': 193, 'history, historical fiction, biography': 91, 'fiction': 6, 'comics, graphic': 4}"
2077,{'non-fiction': 2}
28666,"{'fantasy, paranormal': 316, 'fiction': 15}"
23932,"{'non-fiction': 20, 'history, historical fiction, biography': 23, 'fiction': 5, 'poetry': 3, 'comics, graphic': 1}"
23300,"{'children': 111, 'fiction': 60, 'young-adult': 24, 'fantasy, paranormal': 24, 'mystery, thriller, crime': 6, 'history, historical fiction, biography': 6}"
41304,"{'history, historical fiction, biography': 99, 'non-fiction': 76}"
13879,"{'fantasy, paranormal': 1445, 'fiction': 129}"
41369,"{'non-fiction': 4, 'history, historical fiction, biography': 1}"
10772,"{'fiction': 404, 'mystery, thriller, crime': 6, 'fantasy, paranormal': 6, 'history, historical fiction, biography': 4, 'romance': 4}"
10770,"{'non-fiction': 7, 'fiction': -1}"
10776,"{'fiction': 178, 'non-fiction': 110, 'history, historical fiction, biography': 51}"
10778,"{'fiction': 220, 'history, historical fiction, biography': 8}"
8062,"{'children': 15, 'fiction': 3, 'young-adult': 2, 'history, historical fiction, biography': 1}"
17364,"{'history, historical fiction, biography': 1962, 'non-fiction': 804, 'comics, graphic': 62, 'fiction': 29}"
17366,"{'history, historical fiction, biography': 1962, 'non-fiction': 804, 'comics, graphic': 62, 'fiction': 29}"
17360,"{'non-fiction': 9, 'history, historical fiction, biography': 1}"
17362,"{'non-fiction': 182, 'history, historical fiction, biography': 12}"
21188,"{'young-adult': 73, 'mystery, thriller, crime': 61, 'fiction': 39, 'children': 12}"
21182,{'non-fiction': 8}
21187,"{'young-adult': 82, 'fiction': 103, 'history, historical fiction, biography': 70, 'romance': 52, 'fantasy, paranormal': 38, 'children': 3, 'mystery, thriller, crime': 4}"
26097,"{'fiction': 326, 'non-fiction': 3}"
26092,"{'young-adult': 240, 'fiction': 201, 'fantasy, paranormal': 60, 'mystery, thriller, crime': 61, 'children': 82}"
26093,"{'fiction': 37, 'romance': 10}"
26090,{'non-fiction': 22}
44022,"{'fiction': 17, 'non-fiction': 9, 'romance': 4, 'young-adult': 1, 'history, historical fiction, biography': 2, 'comics, graphic': 1, 'fantasy, paranormal': 1}"
42662,"{'history, historical fiction, biography': 126, 'non-fiction': 39}"
42661,"{'history, historical fiction, biography': 855, 'non-fiction': 273, 'fiction': 3}"
42668,"{'fantasy, paranormal': 517, 'romance': 404, 'fiction': 22, 'history, historical fiction, biography': 11}"
27243,"{'non-fiction': 16, 'fantasy, paranormal': 2}"
39872,"{'non-fiction': 388, 'history, historical fiction, biography': 101, 'fiction': 22, 'comics, graphic': 4}"
39876,"{'children': 119, 'fiction': 8}"
45234,"{'fiction': 618, 'mystery, thriller, crime': 675}"
43074,"{'non-fiction': 184, 'history, historical fiction, biography': 34, 'fiction': 6, 'comics, graphic': 3}"
43076,"{'young-adult': 10, 'romance': 10, 'fiction': 5, 'children': 1}"
43073,"{'history, historical fiction, biography': 64, 'non-fiction': 41, 'children': 24, 'fiction': 1}"
43072,"{'history, historical fiction, biography': 40, 'non-fiction': 21, 'children': 30, 'young-adult': 1}"
