bookID,title,authors_x,average_rating,isbn,isbn13,language_code,  num_pages,ratings_count,text_reviews_count,publication_date,publisher,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1_x,Unnamed: 0_x,book_id,country_code,authors_y,Unnamed: 0.1_y,Unnamed: 0_y,genres
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11,006078671X,9780060786717,eng,352,3086,237,1/3/2006,William Morrow,2968,2968,2968,745642,205,US,['131'],2968,745642,"['mystery, thriller, crime', 'fiction', 'history, historical fiction, biography']"
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94,0743499344,9780743499347,en-US,320,352,44,11/1/2005,Atria Books,2969,2969,2969,745644,207,US,"['133', '12041', '478913']",2969,745644,"['non-fiction', 'history, historical fiction, biography', 'comics, graphic']"
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6,0765313405,9780765313409,eng,331,9852,633,3/7/2006,Tor Books,2970,2970,2970,745645,208,US,['13557729'],2970,745645,"['fantasy, paranormal', 'fiction']"
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9,1400032490,9781400032495,eng,244,821,78,8/10/2004,Vintage Crime/Black Lizard,5217,5217,5217,1310584,213,US,"['3114972', '7031']",5217,1310584,"['mystery, thriller, crime', 'fiction', 'history, historical fiction, biography']"
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05,1400032482,9781400032488,eng,215,731,72,3/8/2005,Vintage Crime/Black Lizard,5216,5216,5216,1310582,214,US,"['3114972', '17613']",5216,1310582,"['mystery, thriller, crime', 'fiction', 'history, historical fiction, biography']"
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94,1400032466,9781400032464,eng,191,2897,178,8/10/2004,Vintage Crime/Black Lizard,3094,3094,3094,783893,216,US,"['3114972', '12940']",3094,783893,"['mystery, thriller, crime', 'fiction', 'history, historical fiction, biography']"
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89,0679732527,9780679732525,eng,144,98,11,10/3/1990,Vintage,797,797,797,184975,230,US,['3114972'],797,184975,"['mystery, thriller, crime', 'fiction', 'history, historical fiction, biography']"
231,I am Charlotte Simmons,Tom Wolfe,3.42,0312424442,9780312424442,eng,738,20888,1688,8/30/2005,Picador USA,798,798,798,184976,231,US,['3083854'],798,184976,"['fiction', 'young-adult', 'romance']"
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02,0140366601,9780140366600,eng,287,81,6,10/3/1996,Puffin,3405,3405,3405,855463,244,US,['146'],3405,855463,"['poetry', 'children', 'fiction', 'young-adult']"
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22,0811201120,9780811201124,eng,217,981,52,2/1/1964,New Directions Publishing,3404,3404,3404,855462,245,US,"['147', '3849654']",3404,855462,"['non-fiction', 'history, historical fiction, biography', 'fiction', 'poetry']"
