,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,book_id,country_code,authors,isbn13
73,73,73,73,16458,44446,US,"[{'author_id': '82932', 'role': 'Editor'}, {'author_id': '16070', 'role': 'Contributor'}, {'author_id': '3072763', 'role': 'Contributor'}, {'author_id': '24951', 'role': 'Contributor'}, {'author_id': '24953', 'role': 'Contributor'}, {'author_id': '232932', 'role': 'Contributor'}, {'author_id': '410680', 'role': 'Contributor'}, {'author_id': '3137322', 'role': 'Contributor'}, {'author_id': '128382', 'role': 'Contributor'}, {'author_id': '6890538', 'role': 'Contributor'}, {'author_id': '4175285', 'role': 'Contributor'}, {'author_id': '5031025', 'role': 'Contributor'}, {'author_id': '6890537', 'role': 'Contributor'}]",9780486429922
74,74,74,74,17543,1504,US,"[{'author_id': '986', 'role': ''}]",9780715631874
75,75,75,75,17551,22209,US,"[{'author_id': '8944', 'role': ''}]",9780752817002
76,76,76,76,17552,22208,US,"[{'author_id': '12677', 'role': ''}, {'author_id': '340491', 'role': 'Illustrator'}]",9780531071663
77,77,77,77,17557,22202,US,"[{'author_id': '12673', 'role': ''}]",9780552153577
78,78,78,78,17558,22201,US,"[{'author_id': '12672', 'role': ''}]",9780345490094
79,79,79,79,17559,22200,US,"[{'author_id': '9226', 'role': ''}]",9780441013678
80,80,80,80,17560,22207,US,"[{'author_id': '12676', 'role': ''}]",9780060875077
81,81,81,81,17562,22205,US,"[{'author_id': '2987', 'role': ''}]",9780142501559
82,82,82,82,17716,20241,US,"[{'author_id': '7', 'role': ''}]",9780385605144
83,83,83,83,18460,23056,US,"[{'author_id': '13084', 'role': ''}, {'author_id': '74721', 'role': 'Translator '}]",9780006861355
84,84,84,84,20019,10534,US,"[{'author_id': '1771', 'role': ''}, {'author_id': '155021', 'role': 'Translator'}]",9781590302255
85,85,85,85,20021,10537,US,"[{'author_id': '1771', 'role': ''}, {'author_id': '13617', 'role': 'Translator'}]",9781402561016
86,86,86,86,20023,10539,US,"[{'author_id': '7', 'role': ''}]",9780552998086
87,87,87,87,20205,9929,US,"[{'author_id': '6479', 'role': ''}, {'author_id': '3854278', 'role': 'Illustrator'}]",9780962088117
88,88,88,88,20207,9920,US,"[{'author_id': '431149', 'role': ''}, {'author_id': '276553', 'role': 'Introduction'}]",9780375507908
89,89,89,89,20208,9921,US,"[{'author_id': '16547843', 'role': ''}, {'author_id': '6473', 'role': ''}]",9781581821369
90,90,90,90,20209,9922,US,"[{'author_id': '431149', 'role': ''}]",9780812975932
91,91,91,91,20210,9923,US,"[{'author_id': '431149', 'role': ''}]",9780141185934
92,92,92,92,20211,9924,US,"[{'author_id': '431149', 'role': ''}]",9780679745570
93,93,93,93,20900,17123,US,"[{'author_id': '3472', 'role': ''}]",9780860688662
94,94,94,94,20904,17125,US,"[{'author_id': '10420', 'role': ''}, {'author_id': '192496', 'role': 'Translation'}]",9780374529529
95,95,95,95,21786,16192,US,"[{'author_id': '1899', 'role': ''}]",9780807071274
96,96,96,96,21787,16193,US,"[{'author_id': '1899', 'role': ''}]",9780060921088
97,97,97,97,22092,35417,US,"[{'author_id': '18810', 'role': ''}, {'author_id': '17744', 'role': ''}]",9781569719626
98,98,98,98,22093,35414,US,"[{'author_id': '12479', 'role': ''}]",9780345477385
99,99,99,99,22095,35412,US,"[{'author_id': '8154', 'role': ''}]",9780345463050
100,100,100,100,22096,35413,US,"[{'author_id': '20008', 'role': ''}, {'author_id': '18808', 'role': ''}, {'author_id': '18809', 'role': ''}]",9781593077099
101,101,101,101,22163,5345,US,"[{'author_id': '721', 'role': ''}]",9780385517232
102,102,102,102,22167,5346,US,"[{'author_id': '721', 'role': ''}]",9780385339681
103,103,103,103,22322,13486,US,"[{'author_id': '8451', 'role': ''}, {'author_id': '8450', 'role': ''}]",9780800638184
104,104,104,104,22664,1366,US,"[{'author_id': '901', 'role': ''}, {'author_id': '241287', 'role': 'Translator'}, {'author_id': '2899597', 'role': 'Introduction'}]",9780140440348
105,105,105,105,22665,1367,US,"[{'author_id': '901', 'role': ''}, {'author_id': '960', 'role': 'Editor'}, {'author_id': '902', 'role': 'Editor, Translator'}]",9780393959468
106,106,106,106,22667,1365,US,"[{'author_id': '901', 'role': ''}, {'author_id': '50435', 'role': 'Editor'}, {'author_id': '608211', 'role': 'Translator'}]",9780192824257
107,107,107,107,22668,1362,US,"[{'author_id': '901', 'role': ''}, {'author_id': '241287', 'role': 'Translator'}, {'author_id': '3020094', 'role': 'Editor, Introduction, Notes'}]",9780140449082
108,108,108,108,22675,1368,US,"[{'author_id': '901', 'role': ''}, {'author_id': '1709497', 'role': 'Editor'}, {'author_id': '106545', 'role': 'Translator'}, {'author_id': '420917', 'role': 'Translator, Introduction'}]",9780375400612
109,109,109,109,22682,22463,US,"[{'author_id': '12793', 'role': ''}]",9780785819110
110,110,110,110,22684,22461,US,"[{'author_id': '12793', 'role': ''}, {'author_id': '4992775', 'role': 'Introduction'}]",9780451529060
111,111,111,111,22685,22460,US,"[{'author_id': '12794', 'role': ''}, {'author_id': '92579', 'role': 'Illustrator'}]",9780060843373
112,112,112,112,23125,38424,US,"[{'author_id': '21618', 'role': ''}, {'author_id': '21616', 'role': ''}]",9781417699674
113,113,113,113,25864,42528,US,"[{'author_id': '23920', 'role': ''}]",9780801856686
114,114,114,114,25871,42525,US,"[{'author_id': '23905', 'role': ''}, {'author_id': '1184434', 'role': 'Editor'}]",9780805069075
115,115,115,115,26415,27503,US,"[{'author_id': '6434062', 'role': ''}, {'author_id': '124763', 'role': 'Translator'}]",9780156030168
116,116,116,116,26417,27500,US,"[{'author_id': '1467', 'role': ''}]",9780965045643
117,117,117,117,26418,27507,US,"[{'author_id': '15441', 'role': ''}, {'author_id': '3861491', 'role': 'Editor'}]",9780743255486
118,118,118,118,26730,18906,US,"[{'author_id': '13730', 'role': ''}]",9780060766740
119,119,119,119,26784,44881,US,"[{'author_id': '9059', 'role': ''}]",9780385732598
120,120,120,120,26785,44883,US,"[{'author_id': '7399', 'role': ''}]",9780974811826
121,121,121,121,26786,44882,US,"[{'author_id': '25169', 'role': ''}]",9780735611313
122,122,122,122,27336,15719,US,"[{'author_id': '1221698', 'role': ''}, {'author_id': '9717', 'role': 'Illustrator'}, {'author_id': '156274', 'role': 'Digital Painter'}, {'author_id': '15392', 'role': 'Introduction'}]",9780785123118
123,123,123,123,27338,15714,US,"[{'author_id': '957894', 'role': ''}]",9782070322886
124,124,124,124,27350,24157,US,"[{'author_id': '13589', 'role': ''}, {'author_id': '198837', 'role': 'Illustrator'}]",9780763620875
125,125,125,125,27351,24156,US,"[{'author_id': '13589', 'role': ''}, {'author_id': '198837', 'role': 'Illustrator'}]",9780763619312
126,126,126,126,29286,37408,US,"[{'author_id': '3534', 'role': ''}, {'author_id': '21018', 'role': ''}]",9780786812912
127,127,127,127,29292,37405,US,"[{'author_id': '3534', 'role': ''}]",9780674673779
128,128,128,128,29338,2404,US,"[{'author_id': '1631', 'role': 'Adapter'}, {'author_id': '15122', 'role': 'Illustrator'}, {'author_id': '1624', 'role': ''}]",9780192781536
129,129,129,129,29661,14817,US,"[{'author_id': '4764', 'role': ''}]",9780575076815
130,130,130,130,29666,14812,US,"[{'author_id': '9266', 'role': ''}]",9780756403607
131,131,131,131,29868,3431,US,"[{'author_id': '2331', 'role': ''}]",9781401308582
132,132,132,132,30115,6708,US,"[{'author_id': '4493', 'role': ''}]",9781577314806
133,133,133,133,30234,36259,US,"[{'author_id': '18868', 'role': ''}]",9780805072839
134,134,134,134,30237,36255,US,"[{'author_id': '18930', 'role': ''}]",9780449236413
135,135,135,135,30242,36253,US,"[{'author_id': '18930', 'role': ''}, {'author_id': '9987', 'role': 'Foreword by'}]",9781556526442
136,136,136,136,30243,36252,US,"[{'author_id': '18930', 'role': ''}, {'author_id': '9987', 'role': 'Foreword'}]",9781556526008
137,137,137,137,31872,26481,US,"[{'author_id': '4057', 'role': ''}, {'author_id': '18938', 'role': 'Illustrator'}]",9780439435406
138,138,138,138,31873,26480,US,"[{'author_id': '4057', 'role': ''}]",9780439272001
139,139,139,139,31874,26482,US,"[{'author_id': '4057', 'role': ''}]",9780590897983
140,140,140,140,32772,428,US,"[{'author_id': '238', 'role': ''}, {'author_id': '16462792', 'role': 'Introduction'}]",9780374529949
141,141,141,141,32773,28728,US,"[{'author_id': '8685', 'role': ''}, {'author_id': '8691', 'role': ''}]",9780671318550
142,142,142,142,32774,28729,US,"[{'author_id': '3583', 'role': 'Editor'}, {'author_id': '14454', 'role': 'Contributor'}, {'author_id': '589', 'role': 'Contributor'}, {'author_id': '8685', 'role': 'Contributor'}, {'author_id': '8694', 'role': 'Contributor'}, {'author_id': '10518', 'role': 'Contributor'}]",9780765349118
143,143,143,143,32775,421,US,"[{'author_id': '238', 'role': ''}]",9780374522216
144,144,144,144,32776,420,US,"[{'author_id': '238', 'role': ''}]",9781400043149
145,145,145,145,32777,423,US,"[{'author_id': '238', 'role': ''}]",9780679752868
146,146,146,146,32778,422,US,"[{'author_id': '238', 'role': ''}, {'author_id': '356475', 'role': 'Illustrator'}]",9780679754862
147,147,147,147,32779,425,US,"[{'author_id': '238', 'role': ''}]",9780679754855
148,148,148,148,32780,424,US,"[{'author_id': '238', 'role': ''}]",9780374521721
149,149,149,149,32782,28725,US,"[{'author_id': '8685', 'role': ''}]",9780756401139
150,150,150,150,33752,29394,US,"[{'author_id': '10746', 'role': ''}]",9780441014347
151,151,151,151,33753,29395,US,"[{'author_id': '12542', 'role': ''}]",9780060530488
152,152,152,152,33754,29396,US,"[{'author_id': '10746', 'role': ''}]",9780441012688
153,153,153,153,33756,29390,US,"[{'author_id': '53666', 'role': ''}]",9780750934008
154,154,154,154,34667,37264,US,"[{'author_id': '14151', 'role': ''}]",9780375714764
155,155,155,155,34669,37261,US,"[{'author_id': '14151', 'role': ''}]",9781891830600
156,156,156,156,35621,36475,US,"[{'author_id': '19109', 'role': ''}]",9780393307009
157,157,157,157,38011,8500,US,"[{'author_id': '5548', 'role': ''}, {'author_id': '2749801', 'role': ''}]",9780099744214
158,158,158,158,38017,8506,US,"[{'author_id': '2969409', 'role': ''}]",9780195181302
159,159,159,159,38019,8508,US,"[{'author_id': '1673', 'role': ''}]",9781557091840
160,160,160,160,38439,10885,US,"[{'author_id': '7111', 'role': ''}, {'author_id': '7112', 'role': ''}]",9780684837710
161,161,161,161,38458,32703,US,"[{'author_id': '18344', 'role': ''}, {'author_id': '3887498', 'role': ''}, {'author_id': '6244', 'role': ''}]",9780786890439
162,162,162,162,38459,32702,US,"[{'author_id': '5858', 'role': 'Pseudonym'}, {'author_id': '3389', 'role': ''}, {'author_id': '2898655', 'role': 'Translator'}]",9788427011502
163,163,163,163,38466,32709,US,"[{'author_id': '7621', 'role': ''}, {'author_id': '3389', 'role': 'Designed by'}]",9780679740131
164,164,164,164,38628,8213,US,"[{'author_id': '5389', 'role': ''}, {'author_id': '220935', 'role': 'Translator'}]",9780226505367
165,165,165,165,38697,17581,US,"[{'author_id': '16121743', 'role': ''}, {'author_id': '268555', 'role': 'Illustrator'}]",9780064462341
166,166,166,166,38866,8660,US,"[{'author_id': '2448', 'role': ''}, {'author_id': '37775', 'role': 'Editor'}]",9780142002728
167,167,167,167,38953,44545,US,"[{'author_id': '23613', 'role': ''}, {'author_id': '229671', 'role': 'Editor'}]",9781899791668
168,168,168,168,38956,44540,US,"[{'author_id': '23613', 'role': 'Editor'}]",9780231109253
169,169,169,169,38958,44543,US,"[{'author_id': '23613', 'role': ''}]",9780156007474
170,170,170,170,39437,35350,US,"[{'author_id': '19957', 'role': ''}]",9780385496056
171,171,171,171,39595,872,US,"[{'author_id': '566', 'role': ''}, {'author_id': '488758', 'role': 'Translator'}, {'author_id': '5449827', 'role': 'Illustrator'}]",9780060192501
172,172,172,172,39596,873,US,"[{'author_id': '4698899', 'role': ''}, {'author_id': '1945379', 'role': 'Translator'}]",9781591169239
173,173,173,173,39598,871,US,"[{'author_id': '4698899', 'role': ''}, {'author_id': '1945379', 'role': 'Translator'}]",9781591169291
174,174,174,174,40010,1403,US,"[{'author_id': '927', 'role': ''}]",9781891190230
175,175,175,175,40011,1402,US,"[{'author_id': '919', 'role': ''}, {'author_id': '3096468', 'role': 'Translator'}, {'author_id': '926', 'role': 'Translator'}]",9780674995833
176,176,176,176,40066,22302,US,"[{'author_id': '2546', 'role': ''}, {'author_id': '2185794', 'role': ''}]",9788439711865
177,177,177,177,40070,22307,US,"[{'author_id': '1886', 'role': ''}]",9781553651529
178,178,178,178,40071,22304,US,"[{'author_id': '1886', 'role': ''}]",9780743231510
179,179,179,179,40864,32075,US,"[{'author_id': '17623', 'role': ''}, {'author_id': '18061', 'role': 'Editor'}]",9780521294300
180,180,180,180,41142,26049,US,"[{'author_id': '625', 'role': ''}]",9780515140774
181,181,181,181,41241,3531,US,"[{'author_id': '2413', 'role': ''}, {'author_id': '3521078', 'role': 'Editor'}]",9780871235961
182,182,182,182,41248,3532,US,"[{'author_id': '410680', 'role': ''}, {'author_id': '69892', 'role': 'Translator'}]",9780974607894
183,183,183,183,41759,25919,US,"[{'author_id': '14529', 'role': ''}]",9781598160123
184,184,184,184,42004,3815,US,"[{'author_id': '344522', 'role': ''}]",9780446679220
185,185,185,185,42007,3818,US,"[{'author_id': '2592', 'role': ''}]",9780830826056
186,186,186,186,42606,20059,US,"[{'author_id': '29', 'role': ''}]",9781570629136
187,187,187,187,42890,32016,US,"[{'author_id': '663', 'role': ''}]",9781581344493
188,188,188,188,43131,3072,US,"[{'author_id': '447', 'role': ''}, {'author_id': '88386', 'role': 'Introduction'}]",9780374521028
189,189,189,189,43184,3075,US,"[{'author_id': '2099', 'role': 'Adapter'}, {'author_id': '2098', 'role': ''}]",9780822219750
190,190,190,190,43587,21686,US,"[{'author_id': '10289', 'role': ''}]",9780380731862
191,191,191,191,43589,21685,US,"[{'author_id': '10289', 'role': ''}]",9780156029025
192,192,192,192,43590,21682,US,"[{'author_id': '10289', 'role': ''}]",9780061139673
193,193,193,193,43591,21683,US,"[{'author_id': '10289', 'role': ''}]",9780380730360
194,194,194,194,44434,19531,US,"[{'author_id': '5548', 'role': ''}]",9782070367702
195,195,195,195,44437,19534,US,"[{'author_id': '11700', 'role': ''}]",9780553378498
196,196,196,196,44467,29478,US,"[{'author_id': '16566', 'role': ''}]",9780061140532
197,197,197,197,44806,27345,US,"[{'author_id': '15341', 'role': ''}, {'author_id': '15332', 'role': ''}]",9780395517420
198,198,198,198,44808,27347,US,"[{'author_id': '15332', 'role': ''}, {'author_id': '254571', 'role': ''}]",9780140253801
199,199,199,199,44838,39793,US,"[{'author_id': '22339', 'role': ''}, {'author_id': '39043', 'role': 'Translator'}]",9781400095810
200,200,200,200,44839,39792,US,"[{'author_id': '22339', 'role': ''}, {'author_id': '431735', 'role': 'Translator'}]",9781565849938
201,201,201,201,44840,39795,US,"[{'author_id': '22339', 'role': ''}, {'author_id': '431735', 'role': 'Translator'}]",9781400031528
202,202,202,202,44842,39797,US,"[{'author_id': '22339', 'role': ''}, {'author_id': '431735', 'role': 'Translator'}]",9781400076956
203,203,203,203,44843,39796,US,"[{'author_id': '22339', 'role': ''}, {'author_id': '93978', 'role': 'Translator'}]",9781400031566
204,204,204,204,44844,39799,US,"[{'author_id': '22339', 'role': ''}, {'author_id': '39043', 'role': 'Translator'}]",9780099448877
205,205,205,205,45262,9566,US,"[{'author_id': '197', 'role': ''}]",9781842430224
206,206,206,206,45619,34542,US,"[{'author_id': '1654', 'role': ''}]",9780060094966
207,207,207,207,45620,34541,US,"[{'author_id': '1654', 'role': ''}]",9780061051586
208,208,208,208,45621,34540,US,"[{'author_id': '1654', 'role': ''}, {'author_id': '19440', 'role': 'Illustrator'}]",9780575068858
209,209,209,209,45623,34545,US,"[{'author_id': '70006', 'role': 'Editor'}, {'author_id': '99876', 'role': ''}, {'author_id': '19446', 'role': 'photographer'}]",9780714843308
210,210,210,210,45624,34544,US,"[{'author_id': '19445', 'role': 'Writer'}, {'author_id': '57285', 'role': ''}, {'author_id': '61230', 'role': 'Illustrator'}]",9780785110590
211,211,211,211,45627,34548,US,"[{'author_id': '1362939', 'role': ''}]",9780312291457
212,212,212,212,45674,24711,US,"[{'author_id': '4711', 'role': ''}]",9780060645892
213,213,213,213,45883,7679,US,"[{'author_id': '5194', 'role': ''}]",9780060092573
214,214,214,214,45885,7677,US,"[{'author_id': '5194', 'role': ''}]",9780307348135
215,215,215,215,45886,7674,US,"[{'author_id': '5194', 'role': ''}, {'author_id': '24659', 'role': 'Read by'}, {'author_id': '250909', 'role': 'Read by'}, {'author_id': '507057', 'role': 'Read by'}]",9780739340332
216,216,216,216,45888,7672,US,"[{'author_id': '5194', 'role': ''}]",9780060541835
217,217,217,217,45889,7673,US,"[{'author_id': '5194', 'role': ''}]",9780060891565
218,218,218,218,45890,7670,US,"[{'author_id': '5194', 'role': ''}]",9780060541811
219,219,219,219,46252,23518,US,"[{'author_id': '13257', 'role': ''}]",9780471409762
220,220,220,220,46256,23512,US,"[{'author_id': '13252', 'role': ''}, {'author_id': '13251', 'role': ''}]",9780131445963
221,221,221,221,46259,23515,US,"[{'author_id': '13255', 'role': ''}]",9780764584657
222,222,222,222,46341,17722,US,"[{'author_id': '8164', 'role': ''}, {'author_id': '180439', 'role': 'Illustrator'}]",9780553213454
223,223,223,223,46444,30134,US,"[{'author_id': '435477', 'role': ''}, {'author_id': '3867504', 'role': 'Narrator'}]",9780061130472
224,224,224,224,46579,37996,US,"[{'author_id': '21356', 'role': 'Editor'}, {'author_id': '51690', 'role': 'Contributor'}, {'author_id': '404951', 'role': 'Contributor'}, {'author_id': '253936', 'role': 'Contributor'}, {'author_id': '3993111', 'role': 'Contributor'}, {'author_id': '796730', 'role': 'Contributor'}, {'author_id': '45973', 'role': 'Contributor'}, {'author_id': '912770', 'role': 'Contributor'}, {'author_id': '182699', 'role': 'Contributor'}, {'author_id': '7797', 'role': 'Contributor'}, {'author_id': '26407', 'role': 'Contributor'}, {'author_id': '10331', 'role': 'Contributor'}, {'author_id': '7152994', 'role': ''}]",9780393321630
225,225,225,225,46585,37998,US,"[{'author_id': '11060', 'role': ''}]",9781590526866
226,226,226,226,47111,9164,US,"[{'author_id': '5999', 'role': ''}, {'author_id': '3853840', 'role': ''}]",9780764525681
227,227,227,227,47301,41489,US,"[{'author_id': '99044', 'role': ''}, {'author_id': '12454', 'role': ''}]",9780743418133
228,228,228,228,48239,26653,US,"[{'author_id': '13978', 'role': ''}]",9780345480057
229,229,229,229,48240,26654,US,"[{'author_id': '13978', 'role': ''}]",9780345450692
230,230,230,230,49155,27404,US,"[{'author_id': '7045126', 'role': ''}]",9780679723127
231,231,231,231,49238,45288,US,"[{'author_id': '1438', 'role': ''}, {'author_id': '76779', 'role': 'Editor'}]",9780142437681
232,232,232,232,49273,45283,US,"[{'author_id': '2617', 'role': ''}]",9788497930970
233,233,233,233,49440,18801,US,"[{'author_id': '233619', 'role': ''}, {'author_id': '518992', 'role': 'Translator'}, {'author_id': '378477', 'role': 'Translator'}, {'author_id': '6212', 'role': 'Revisions'}]",9780375753114
234,234,234,234,49441,18802,US,"[{'author_id': '233619', 'role': ''}, {'author_id': '166496', 'role': 'Translator'}, {'author_id': '15967', 'role': 'Editor'}]",9780141180366
235,235,235,235,49442,18803,US,"[{'author_id': '233619', 'role': ''}, {'author_id': '27427', 'role': 'Translator'}, {'author_id': '15967', 'role': 'Editor, Preface'}]",9780141180311
236,236,236,236,49444,18808,US,"[{'author_id': '11329', 'role': ''}]",9781904341277
237,237,237,237,49554,5890,US,"[{'author_id': '4012', 'role': ''}, {'author_id': '4011', 'role': 'Annotations'}]",9780141439617
238,238,238,238,49555,5891,US,"[{'author_id': '4012', 'role': ''}]",9780486440965
